date,open,close,high,low,volume
2019-01-02,7.96,8.77,8.77,7.8,605152
2019-01-03,8.57,9.15,9.65,7.95,938093
2019-01-04,8.54,8.33,8.85,8.28,573021
2019-01-07,8.25,8.88,9.03,8.04,635535
2019-01-08,8.74,8.79,9.32,8.53,653563
2019-01-09,8.54,8.54,8.99,8.2,551019
2019-01-10,8.39,8.07,8.52,7.87,457419
2019-01-11,8.15,8.12,8.27,7.96,292661
2019-01-14,8.14,8.57,8.72,7.93,433614
2019-01-15,8.37,8.22,8.52,8.1,364594
2019-01-16,8.09,8.03,8.22,8.0,232570
2019-01-17,7.98,7.65,8.07,7.55,302820
2019-01-18,7.66,7.26,7.7,7.04,330190
2019-01-21,7.29,7.44,7.63,7.16,249165
2019-01-22,7.45,7.74,7.82,7.43,341742
2019-01-23,7.56,7.4,7.62,7.35,184021
2019-01-24,7.5,7.47,7.66,7.46,195475
2019-01-25,7.44,7.11,7.44,7.06,188049
2019-01-28,7.19,7.18,7.27,7.11,145952
2019-01-29,7.1,7.24,7.26,6.74,166061
2019-01-30,7.18,6.98,7.29,6.97,121537
2019-01-31,7.02,7.21,7.3,7.0,197207
2019-02-01,7.25,7.25,7.31,7.16,155353
2019-02-11,7.31,7.99,7.99,7.31,412015
2019-02-12,8.01,8.36,8.67,8.0,593041
2019-02-13,8.26,8.33,8.64,8.01,504423
2019-02-14,8.23,8.35,8.51,8.15,390228
2019-02-15,8.45,8.4,8.8,8.26,523106
2019-02-18,8.3,8.8,8.94,8.29,511338
2019-02-19,8.85,8.58,8.87,8.34,439094
2019-02-20,8.55,8.48,8.63,8.2,284110
2019-02-21,8.63,9.34,9.34,8.53,784102
2019-02-22,9.33,10.29,10.29,9.05,757050
2019-02-25,11.05,11.33,11.33,11.05,272978
2019-02-26,12.13,10.61,12.47,10.45,1036326
2019-02-27,9.9,10.04,10.42,9.57,709254
2019-02-28,9.9,10.11,10.4,9.9,469700
2019-03-01,9.92,10.04,10.11,9.66,341936
2019-03-04,10.23,11.06,11.06,10.01,743171
2019-03-05,11.2,12.18,12.18,11.17,927982
2019-03-06,12.37,12.9,13.34,11.45,1039784
2019-03-07,12.45,12.83,13.59,12.18,833596
2019-03-08,11.85,11.53,12.37,11.53,583462
2019-03-11,11.13,11.61,11.68,10.53,443629
2019-03-12,11.64,11.82,12.2,11.5,474696
2019-03-13,11.64,11.02,11.65,10.98,416889
2019-03-14,10.81,10.72,11.12,10.44,300473
2019-03-15,10.77,10.8,11.09,10.56,233541
2019-03-18,10.95,11.9,11.9,10.45,468100
2019-03-19,11.45,11.4,11.99,11.24,443181
2019-03-20,11.26,11.75,12.06,11.18,517859
2019-03-21,11.51,11.86,12.49,11.51,618052
2019-03-22,11.7,11.62,12.05,11.41,358081
2019-03-25,11.25,11.56,11.76,11.15,326996
2019-03-26,11.54,10.95,11.68,10.9,260417
2019-03-27,11.06,10.69,11.15,10.51,229591
2019-03-28,10.69,11.77,11.77,10.58,683789
2019-03-29,11.58,12.12,12.45,11.03,881757
2019-04-01,12.11,12.65,13.03,12.11,886810
2019-04-02,12.52,12.33,13.02,12.32,807667
2019-04-03,11.9,12.08,12.14,11.77,445261
2019-04-04,12.05,11.89,12.19,11.84,317628
2019-04-08,11.89,11.62,12.03,11.4,288083
2019-04-09,11.65,12.8,12.8,11.65,523809
2019-04-10,13.85,14.1,14.1,13.56,576626
2019-04-11,14.85,12.99,15.2,12.86,1369769
2019-04-12,12.46,12.21,12.79,12.06,694204
2019-04-15,12.4,13.04,13.45,12.38,956925
2019-04-16,12.78,14.36,14.36,12.36,742159
2019-04-17,15.81,15.81,15.81,15.17,1467405
2019-04-18,15.56,17.41,17.41,15.45,1396031
2019-04-19,16.46,17.56,18.88,15.65,1653118
2019-04-22,16.85,17.13,18.73,16.65,1271426
2019-04-23,16.64,15.4,16.7,15.4,1003479
2019-04-24,15.44,16.31,16.51,15.44,871971
2019-04-25,15.74,15.75,17.01,15.4,807035
2019-04-26,15.18,15.61,16.35,15.06,605236
2019-04-29,15.74,14.03,15.94,14.03,652787
2019-04-30,13.64,14.3,14.63,13.48,467477
2019-05-06,13.66,12.86,13.94,12.86,376384
2019-05-07,12.65,13.46,13.8,12.65,544014
2019-05-08,12.9,14.42,14.82,12.75,746391
2019-05-09,13.84,13.74,14.62,13.64,594607
2019-05-10,14.21,14.94,15.13,13.2,773334
2019-05-13,14.65,15.37,15.7,14.55,770675
2019-05-14,14.85,15.77,16.6,14.85,780084
2019-05-15,16.15,15.91,16.32,15.56,700427
2019-05-16,15.79,15.17,15.91,14.85,638929
2019-05-17,14.67,14.75,15.65,14.37,510501
2019-05-20,14.75,15.88,16.01,14.36,723338
2019-05-21,15.63,16.05,16.83,15.37,869300
2019-05-22,16.11,15.84,16.79,15.75,747882
2019-05-23,15.43,14.84,15.43,14.51,602992
2019-05-24,14.77,14.22,15.09,14.05,419287
2019-05-27,14.29,14.83,14.95,14.23,368322
2019-05-28,14.75,14.66,15.23,14.47,415254
2019-05-29,14.6,14.58,14.93,14.48,288160
2019-05-30,14.25,14.0,14.45,13.57,401496
2019-05-31,14.0,14.02,14.49,14.0,301062
2019-06-03,14.1,14.75,15.23,13.65,584234
2019-06-04,14.86,14.35,15.25,14.15,501951
2019-06-05,14.53,14.17,14.63,13.76,368214
2019-06-06,14.1,12.89,14.1,12.74,446446
2019-06-10,12.93,12.98,13.25,12.93,215016
2019-06-11,12.95,13.24,13.35,12.36,415575
2019-06-12,13.16,13.63,14.05,13.03,494394
2019-06-13,13.5,13.34,13.72,13.2,301977
2019-06-14,13.34,12.96,13.53,12.9,229170
2019-06-17,12.96,12.75,13.1,12.65,157799
2019-06-18,12.81,12.88,13.11,12.51,190973
2019-06-19,13.41,12.88,13.47,12.85,234977
2019-06-20,12.63,12.99,13.17,12.63,233756
2019-06-21,13.05,13.1,13.34,13.0,270710
2019-06-24,13.15,13.03,13.29,12.96,164432
2019-06-25,13.09,12.82,13.13,12.7,184907
2019-06-26,12.65,12.75,13.06,12.56,140807
2019-06-27,12.8,12.79,12.98,12.73,214017
2019-06-28,12.73,12.21,12.8,12.06,266631
2019-07-01,12.65,12.9,13.0,12.51,329961
2019-07-02,12.96,12.76,12.99,12.72,189670
2019-07-03,12.78,12.4,12.81,12.31,190928
2019-07-04,12.46,12.17,12.49,12.08,153246
2019-07-05,12.14,12.23,12.34,12.11,99531
2019-07-08,12.14,11.5,12.18,11.48,198748
2019-07-09,11.5,11.34,11.63,11.05,183304
2019-07-10,11.4,11.17,11.47,11.06,112113
2019-07-11,11.23,11.05,11.34,10.98,121131
2019-07-12,11.07,11.12,11.24,10.73,142107
2019-07-15,11.13,11.34,11.43,11.0,151446
2019-07-16,11.28,11.88,12.13,11.19,318737
2019-07-17,11.73,11.8,12.07,11.65,186254
2019-07-18,11.63,11.25,11.66,11.24,171238
2019-07-19,11.27,11.18,11.46,11.18,100328
2019-07-22,11.18,10.49,11.31,10.36,212579
2019-07-23,10.49,11.05,11.18,10.46,258567
2019-07-24,11.22,11.34,11.57,11.2,254022
2019-07-25,11.48,11.35,11.61,11.21,194194
2019-07-26,11.4,11.2,11.42,11.19,123327
2019-07-29,11.22,11.25,11.52,11.17,149087
2019-07-30,11.19,11.18,11.38,11.16,110843
2019-07-31,11.14,11.08,11.32,10.96,120627
2019-08-01,10.98,10.93,11.13,10.81,101239
2019-08-02,10.61,10.58,10.67,10.41,167242
2019-08-05,10.56,10.62,10.98,10.49,156641
2019-08-06,10.38,10.06,10.38,9.62,224874
2019-08-07,10.22,10.67,10.78,10.07,326777
