2025-07-20 16:23:25,976 [INFO] fetch_kline.py:81 筛选得到 2087 只股票
2025-07-20 16:23:25,977 [INFO] fetch_kline.py:335 开始抓取 2087 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250720
2025-07-20 16:23:34,510 [WARNING] fetch_kline.py:162 AKShare 拉取 002240 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,515 [WARNING] fetch_kline.py:162 AKShare 拉取 002244 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,520 [WARNING] fetch_kline.py:162 AKShare 拉取 002245 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,524 [WARNING] fetch_kline.py:162 AKShare 拉取 002242 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,594 [WARNING] fetch_kline.py:162 AKShare 拉取 002246 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,600 [WARNING] fetch_kline.py:162 AKShare 拉取 002249 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,630 [WARNING] fetch_kline.py:162 AKShare 拉取 002250 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,659 [WARNING] fetch_kline.py:162 AKShare 拉取 002251 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,677 [WARNING] fetch_kline.py:162 AKShare 拉取 002252 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,687 [WARNING] fetch_kline.py:162 AKShare 拉取 002254 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,708 [WARNING] fetch_kline.py:162 AKShare 拉取 002258 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,721 [WARNING] fetch_kline.py:162 AKShare 拉取 002261 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,721 [WARNING] fetch_kline.py:162 AKShare 拉取 002265 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,721 [WARNING] fetch_kline.py:162 AKShare 拉取 002263 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,721 [WARNING] fetch_kline.py:162 AKShare 拉取 002270 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,721 [WARNING] fetch_kline.py:162 AKShare 拉取 002255 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,721 [WARNING] fetch_kline.py:162 AKShare 拉取 002262 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,723 [WARNING] fetch_kline.py:162 AKShare 拉取 002267 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,729 [WARNING] fetch_kline.py:162 AKShare 拉取 002266 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:34,729 [WARNING] fetch_kline.py:162 AKShare 拉取 002268 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:35,600 [WARNING] fetch_kline.py:162 AKShare 拉取 002240 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:35,838 [WARNING] fetch_kline.py:162 AKShare 拉取 002246 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:35,840 [WARNING] fetch_kline.py:162 AKShare 拉取 002249 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:35,879 [WARNING] fetch_kline.py:162 AKShare 拉取 002258 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:35,894 [WARNING] fetch_kline.py:162 AKShare 拉取 002254 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:35,894 [WARNING] fetch_kline.py:162 AKShare 拉取 002265 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:35,941 [WARNING] fetch_kline.py:162 AKShare 拉取 002267 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:35,946 [WARNING] fetch_kline.py:162 AKShare 拉取 002242 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:36,032 [WARNING] fetch_kline.py:162 AKShare 拉取 002251 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:36,049 [WARNING] fetch_kline.py:162 AKShare 拉取 002261 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:36,129 [WARNING] fetch_kline.py:162 AKShare 拉取 002266 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:36,165 [WARNING] fetch_kline.py:162 AKShare 拉取 002244 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:36,272 [WARNING] fetch_kline.py:162 AKShare 拉取 002255 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:36,317 [WARNING] fetch_kline.py:162 AKShare 拉取 002245 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:36,334 [WARNING] fetch_kline.py:162 AKShare 拉取 002252 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:36,387 [WARNING] fetch_kline.py:162 AKShare 拉取 002250 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:36,453 [WARNING] fetch_kline.py:162 AKShare 拉取 002262 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:36,592 [WARNING] fetch_kline.py:162 AKShare 拉取 002268 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:36,640 [WARNING] fetch_kline.py:162 AKShare 拉取 002263 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:36,773 [WARNING] fetch_kline.py:162 AKShare 拉取 002270 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:38,163 [WARNING] fetch_kline.py:162 AKShare 拉取 002242 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:38,635 [WARNING] fetch_kline.py:162 AKShare 拉取 002254 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:38,664 [WARNING] fetch_kline.py:162 AKShare 拉取 002255 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:38,691 [WARNING] fetch_kline.py:162 AKShare 拉取 002240 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:38,808 [WARNING] fetch_kline.py:162 AKShare 拉取 002252 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:38,824 [WARNING] fetch_kline.py:162 AKShare 拉取 002262 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:38,924 [WARNING] fetch_kline.py:162 AKShare 拉取 002249 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:39,002 [WARNING] fetch_kline.py:162 AKShare 拉取 002246 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:39,222 [WARNING] fetch_kline.py:162 AKShare 拉取 002265 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:39,344 [WARNING] fetch_kline.py:162 AKShare 拉取 002270 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:39,389 [WARNING] fetch_kline.py:162 AKShare 拉取 002251 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:39,389 [WARNING] fetch_kline.py:162 AKShare 拉取 002258 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:39,409 [WARNING] fetch_kline.py:162 AKShare 拉取 002261 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:39,454 [WARNING] fetch_kline.py:162 AKShare 拉取 002263 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:39,582 [WARNING] fetch_kline.py:162 AKShare 拉取 002245 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:39,859 [WARNING] fetch_kline.py:162 AKShare 拉取 002268 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:39,887 [WARNING] fetch_kline.py:162 AKShare 拉取 002267 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:40,052 [WARNING] fetch_kline.py:162 AKShare 拉取 002244 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:40,133 [WARNING] fetch_kline.py:162 AKShare 拉取 002266 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:40,265 [WARNING] fetch_kline.py:162 AKShare 拉取 002250 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:41,976 [WARNING] fetch_kline.py:162 AKShare 拉取 002271 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:42,042 [WARNING] fetch_kline.py:162 AKShare 拉取 002272 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:42,447 [WARNING] fetch_kline.py:162 AKShare 拉取 002273 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
